time,open,high,low,close,tick_volume,spread
2025-01-14 18:00:00,1.0295,1.03044,1.02828,1.02915,12691,0.0
2025-01-14 19:00:00,1.02915,1.02915,1.0279,1.02882,5782,0.0
2025-01-14 20:00:00,1.02881,1.03003,1.02867,1.02995,3444,0.0
2025-01-14 21:00:00,1.02995,1.03055,1.02963,1.02979,2737,0.0
2025-01-14 22:00:00,1.02979,1.03085,1.02964,1.03018,3374,0.0
2025-01-14 23:00:00,1.03018,1.03082,1.03006,1.03078,1660,0.0
2025-01-15 00:00:00,1.03077,1.03083,1.03023,1.0307,612,0.0
2025-01-15 01:00:00,1.03069,1.03084,1.03024,1.03062,1094,0.0
2025-01-15 02:00:00,1.03062,1.03062,1.02996,1.03011,2135,0.0
2025-01-15 03:00:00,1.03011,1.03049,1.02979,1.03,2394,0.0
2025-01-15 04:00:00,1.03,1.03015,1.02953,1.02971,2336,0.0
2025-01-15 05:00:00,1.0297,1.03022,1.02964,1.03019,1525,0.0
2025-01-15 06:00:00,1.03019,1.03026,1.02976,1.03025,1433,0.0
2025-01-15 07:00:00,1.03024,1.03053,1.02927,1.02932,2465,0.0
2025-01-15 08:00:00,1.02932,1.02987,1.02918,1.02962,2551,0.0
2025-01-15 09:00:00,1.02963,1.03082,1.02867,1.03059,10278,0.0
2025-01-15 10:00:00,1.03059,1.03174,1.02941,1.02966,9115,0.0
2025-01-15 11:00:00,1.02965,1.03131,1.02961,1.03104,6942,0.0
2025-01-15 12:00:00,1.03105,1.03143,1.03007,1.03075,5373,0.0
2025-01-15 13:00:00,1.03075,1.03124,1.02996,1.03013,5260,0.0
2025-01-15 14:00:00,1.03012,1.03066,1.02934,1.02998,6221,0.0
2025-01-15 15:00:00,1.02998,1.03544,1.0296,1.0344,36806,0.0
2025-01-15 16:00:00,1.03441,1.03458,1.0325,1.03272,17637,0.0
2025-01-15 17:00:00,1.03271,1.0331,1.02988,1.03062,15511,0.0
2025-01-15 18:00:00,1.03062,1.03079,1.02579,1.02811,14571,0.0
2025-01-15 19:00:00,1.02812,1.02932,1.0281,1.02856,6501,0.0
2025-01-15 20:00:00,1.02857,1.0293,1.02843,1.02921,4293,0.0
2025-01-15 21:00:00,1.02922,1.02946,1.02892,1.02934,2717,0.0
2025-01-15 22:00:00,1.02935,1.02991,1.02904,1.02955,2307,0.0
